Day #,infections
1,1
2,4
3,4
4,6
5,7
6,8
7,16
8,26
9,30
10,39
11,45
12,56
13,64
14,87
15,119
16,143
17,165
18,214
19,232
20,264
21,319
22,364
23,393
24,450
25,593
26,673
27,783
28,928
29,1116
30,1209
31,1326
32,1475
33,1625
34,1761
35,1926
36,2014
37,2075
38,2323
39,2538
40,2745
41,2931
42,3200
43,3308
44,3442
45,3576
46,4034
47,4162
48,4575
49,4655
50,4734
51,4918
52,5038
53,5208
54,5288
55,5371
56,5778
57,6060
58,6257
59,6406
60,6447
61,6565
62,6741
63,6952
64,7223
65,7373
66,7547
67,7869
68,8037
69,8194
70,8386
71,8529
72,8690
73,8809
74,8965
75,9066
76,9096
77,9171
78,9236
79,9422
80,9498
81,9605
82,9685
83,9712
84,9746
85,9773
86,9845
87,9942
88,9972
89,10020
90,10056
91,10106
92,10173
93,10229
94,10264
95,10340
96,10403
97,10444
98,10499
99,10611
100,10681
101,10775
102,10820
103,10847
104,10889
105,10980
106,11017
107,11091
108,11226
109,11376
110,11474
111,11510
112,11731
113,11923
114,11996
115,12128
116,12293
117,12414
118,12462
119,12531
120,12652
121,12743
122,12804
123,12879
124,12969
125,13050
126,13114
127,13337
128,13429
129,13624
130,13746
131,13792
132,13924
133,14202
